signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S13-EURJPY-IB0002,2026-06-30 08:00:06.085672,EURJPY,1,invalidat,184.887,184.775,185.111,2.0,,,,,0.0,0.0,,
S13-EURJPY-IB0001,2026-06-30 09:29:45.725203,EURJPY,1,SL,185.013,184.85,185.339,2.0,,2026-06-29 19:00:00,184.822,2026-06-30 03:03:47,-1.172,-1.14,,
S13-EURJPY-SIG0001,2026-06-30 09:29:45.765703,EURJPY,1,SL,185.096,184.944,185.628,3.5,,2026-06-29 21:45:00,184.855,2026-06-30 03:02:26,-1.586,-2.84,,
S13-EURJPY-SIG0002,2026-06-30 16:03:14,EURJPY,1,SL,185.105,184.976,185.488,2.969,,2026-06-30 03:02:42,184.861,2026-06-30 03:02:42,-1.891,-6.03,,
S13-EURJPY-SIG0003,2026-06-30 16:03:14,EURJPY,1,SL,184.972,184.848,185.402,3.468,,2026-06-30 09:26:37,184.83,2026-06-30 09:26:37,-1.145,-1.75,,
S13-EURJPY-IB0003,2026-06-30 16:03:14,EURJPY,1,SL,185.019,184.788,185.502,2.091,,2026-06-30 18:32:02,184.712,2026-06-30 18:32:02,-1.329,-1.89,,
S13-EURJPY-IB0004,2026-06-30 20:58:32,EURJPY,1,TP,185.109,185.013,185.343,2.437,2026-06-30 18:44:52,2026-06-30 18:44:52,185.337,2026-06-30 20:17:06,2.375,2.81,,
S13-EURJPY-IB0006,2026-07-01 11:33:34.357674,EURJPY,1,invalidat,185.525,185.331,185.913,2.0,2026-07-01 10:45:00,,,,0.0,0.0,,
S13-EURJPY-SIG0004,2026-07-01 16:15:05.070471,EURJPY,1,SL,185.141,184.903,186.212,4.5,2026-06-30 15:30:00,2026-06-30 15:45:00,184.902,2026-07-01 19:14:17,-1.004,-1.51,-0.08,0.03
S13-EURJPY-IB0007,2026-07-03 03:15:05.210560,EURJPY,-1,SL,184.098,184.461,183.372,2.0,2026-07-02 10:30:00,2026-07-02 10:45:00,184.465,2026-07-03 06:14:31,-1.011,-2.24,-0.08,-0.06
S13-EURJPY-IB0008,2026-07-07 10:30:05.194589,EURJPY,1,SL,185.072,184.962,185.292,2.0,2026-07-07 08:45:00,2026-07-07 09:00:00,184.961,2026-07-07 13:19:49,-1.009,-2.06,-0.22,0.0
S13-EURJPY-IB0009,2026-07-14 15:45:05.045666,EURJPY,1,SL,185.16,184.953,185.574,2.0,2026-07-14 15:15:00,2026-07-07 13:19:49,184.961,2026-07-07 13:19:49,-0.961,-2.06,-0.22,0.0
S13-EURJPY-IB0010,2026-07-24 10:15:54.087172,EURJPY,1,ai_reject,186.564,186.42,186.852,2.0,2026-07-24 10:00:00,,,,0.0,,,
