signal_id,time,symbol,direction,dir_str,entry,sl,tp,r_ratio,atr_pips,n_optional,rsi
S13-EURJPY-IB0001,2026-06-29 18:15:00,EURJPY,1,LONG,185.013,184.85,185.339,2.0,10.2,0,72.5
S13-EURJPY-SIG0001,2026-06-29 21:00:00,EURJPY,1,LONG,185.096,184.944,185.628,3.5,7.8,1,71.7
S13-EURJPY-SIG0002,2026-06-29 23:15:00,EURJPY,1,LONG,185.069,184.976,185.4875,4.5,5.8,2,63.4
S13-EURJPY-SIG0003,2026-06-30 06:00:00,EURJPY,1,LONG,184.971,184.848,185.4015,3.5,7.9,1,48.8
S13-EURJPY-IB0002,2026-06-30 06:45:00,EURJPY,1,LONG,184.887,184.775,185.111,2.0,8.3,0,42.0
S13-EURJPY-IB0003,2026-06-30 09:30:00,EURJPY,1,LONG,185.026,184.788,185.502,2.0,9.3,0,57.5
S13-EURJPY-IB0004,2026-06-30 15:00:00,EURJPY,1,LONG,185.123,185.013,185.343,2.0,9.0,0,64.8
S13-EURJPY-SIG0004,2026-06-30 15:30:00,EURJPY,1,LONG,185.141,184.903,186.212,4.5,11.6,2,66.2
S13-EURJPY-IB0006,2026-07-01 10:45:00,EURJPY,1,LONG,185.525,185.331,185.913,2.0,8.4,0,43.0
S13-EURJPY-IB0007,2026-07-02 10:30:00,EURJPY,-1,SHORT,184.098,184.461,183.372,2.0,16.3,0,17.9
S13-EURJPY-IB0008,2026-07-07 08:45:00,EURJPY,1,LONG,185.072,184.962,185.292,2.0,7.6,0,35.3
S13-EURJPY-IB0009,2026-07-14 15:15:00,EURJPY,1,LONG,185.16,184.953,185.574,2.0,7.5,0,63.7
S13-EURJPY-IB0010,2026-07-24 10:00:00,EURJPY,1,LONG,186.564,186.42,186.852,2.0,5.8,0,60.2
