signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S7-XRP-IB0001,2026-06-22 20:54:34.314331,XRPUSD,-1,SL,1.1326,1.1387,1.1204,2.0,,2026-06-22 20:30:00,1.1389,2026-06-22 23:53:07,-1.033,,,
S7-XRP-IB0002,2026-06-23 01:15:05.060305,XRPUSD,-1,SL,1.1285,1.1328,1.1199,2.0,,2026-06-23 00:15:00,1.1328,2026-06-23 04:02:47,-1.0,,,
S7-XRP-SIG0001,2026-06-23 11:30:05.460433,XRPUSD,-1,TP,1.1254,1.1297,1.10605,4.5,,2026-06-23 07:00:00,1.104,2026-06-23 14:18:53,4.977,,,
S7-XRP-SIG0002,2026-06-23 20:45:05.186741,XRPUSD,-1,expirat,1.0957,1.1076,1.04215,4.5,,,,2026-06-23 20:30:00,0.0,0.0,,
S7-XRP-IB0003,2026-06-24 13:30:05.071534,XRPUSD,-1,TP,1.1007,1.1075,1.0871,2.0,,2026-06-24 06:15:00,1.0866,2026-06-24 16:19:16,2.074,3.1,,
S7-XRP-SIG0003,2026-06-24 13:30:05.074120,XRPUSD,-1,TP,1.1019,1.1058,1.08435,4.5,,2026-06-24 09:30:00,1.0855,2026-06-24 16:20:00,4.205,7.72,,
S7-XRP-IB0004,2026-06-24 14:40:23.502978,XRPUSD,-1,invalidat,1.0807,1.0867,1.0687,2.0,,,,,0.0,0.0,,
S7-XRP-IB0005,2026-06-24 21:30:05.061877,XRPUSD,-1,SL,1.0487,1.0599,1.0263,2.0,,2026-06-24 20:45:00,1.0599,2026-06-25 00:15:47,-1.0,-1.52,,
S7-XRP-IB0006,2026-06-24 23:15:05.067170,XRPUSD,-1,SL,1.0571,1.0665,1.0383,2.0,,2026-06-24 22:00:00,1.0674,2026-06-25 02:06:35,-1.096,-1.88,,
S7-XRP-IB0007,2026-06-25 08:00:05.451397,XRPUSD,-1,SL,1.07118,1.07652,1.0605,2.0,,2026-06-25 05:30:00,1.0766,2026-06-25 10:54:51,-1.015,-1.54,,
S7-XRP-IB0008,2026-06-25 17:12:18.196864,XRPUSD,-1,TP,1.05288,1.07432,1.01,2.0,,2026-06-25 16:45:00,1.0318,2026-06-25 20:07:55,0.983,1.72,,
S7-XRP-IB0010,2026-06-25 20:30:05.170144,XRPUSD,-1,SL,1.02768,1.03992,1.0032,2.0,,2026-06-25 19:45:00,1.0402,2026-06-25 23:15:29,-1.023,-1.55,,
S7-XRP-IB0011,2026-06-26 02:30:05.122429,XRPUSD,-1,SL,1.03358,1.04442,1.0119,2.0,,2026-06-25 21:45:00,1.0448,2026-06-26 05:21:37,-1.035,-1.56,,
