signal_id,time_check,symbol,direction,status,entry,sl,tp,r_ratio,armed_at,triggered_at,exit_price,exit_time,result_r,pnl_usd,commission_usd,swap_usd
S5-USDCHF-H1-IB0017,2026-07-28 13:00:34.592979,USDCHF,1,ai_reject,0.82047,0.81895,0.82351,2.0,2026-07-28 12:00:00,,,,0.0,,,
S5-USDCHF-H1-IB0018,2026-07-30 04:00:58.410883,USDCHF,1,ai_reject,0.81522,0.81296,0.81974,2.0,2026-07-30 03:00:00,,,,0.0,,,
S5-USDCHF-H1-IB0019,2026-08-03 21:02:11.069607,USDCHF,1,ai_reject,0.81165,0.81019,0.81457,2.0,2026-08-03 20:00:00,,,,0.0,,,
S5-USDCHF-H1-SIG0016,2026-08-04 06:02:15.364962,USDCHF,1,ai_reject,0.81061,0.80895,0.81808,4.5,2026-08-04 05:00:00,,,,0.0,,,
S5-USDCHF-H1-IB0020,2026-08-07 04:01:06.982770,USDCHF,1,ai_reject,0.81312,0.81215,0.81506,2.0,2026-08-07 03:00:00,,,,0.0,,,
S5-USDCHF-H1-IB0021,2026-08-10 13:00:36.242183,USDCHF,1,ai_reject,0.80852,0.80687,0.81182,2.0,2026-08-10 12:00:00,,,,0.0,,,
S5-USDCHF-H1-IB0022,2026-08-10 20:01:23.889306,USDCHF,1,ai_reject,0.80987,0.80847,0.81267,2.0,2026-08-10 19:00:00,,,,0.0,,,
S5-USDCHF-H1-SIG0017,2026-08-11 10:00:05.214726,USDCHF,1,expirat,0.81073,0.80848,0.82085,4.5,2026-08-11 05:00:00,,,2026-08-11 09:00:00,0.0,0.0,,
S5-USDCHF-H1-SIG0018,2026-08-20 10:00:13.842278,USDCHF,-1,ai_reject,0.79825,0.80037,0.79083,3.5,2026-08-20 09:00:00,,,,0.0,,,
S5-USDCHF-H1-SIG0019,2026-08-21 04:00:41.369555,USDCHF,1,ai_reject,0.80051,0.79872,0.80677,3.5,2026-08-21 03:00:00,,,,0.0,,,
S5-USDCHF-H1-IB0023,2026-08-26 02:00:26.398265,USDCHF,1,ai_reject,0.80158,0.80044,0.80386,2.0,2026-08-26 01:00:00,,,,0.0,,,
S5-USDCHF-H1-SIG0020,2026-08-27 04:00:22.460179,USDCHF,1,ai_reject,0.80558,0.80371,0.81399,4.5,2026-08-27 03:00:00,,,,0.0,,,
S5-USDCHF-H1-IB0024,2026-08-27 21:00:30.177548,USDCHF,1,ai_reject,0.80456,0.80321,0.80726,2.0,2026-08-27 20:00:00,,,,0.0,,,
